date,product,shop,price
2026-08-10,Смартфон X100,shop-one,24990
2026-08-10,Смартфон X100,shop-two,25500
2026-08-11,Смартфон X100,shop-one,24990
2026-08-11,Смартфон X100,shop-two,25100
2026-08-12,Смартфон X100,shop-one,24490
2026-08-12,Смартфон X100,shop-two,25100
2026-08-13,Смартфон X100,shop-one,24490
2026-08-13,Смартфон X100,shop-two,24600
2026-08-14,Смартфон X100,shop-one,23990
2026-08-14,Смартфон X100,shop-two,24600
2026-08-15,Смартфон X100,shop-one,23990
2026-08-15,Смартфон X100,shop-two,24200
2026-08-16,Смартфон X100,shop-one,23490
2026-08-16,Смартфон X100,shop-two,24200
2026-08-17,Смартфон X100,shop-one,23490
2026-08-17,Смартфон X100,shop-two,23800
2026-08-18,Смартфон X100,shop-one,22990
2026-08-18,Смартфон X100,shop-two,23800
